period,value,unit,type
1960-01,0.7,US$/kg,published observation
1960-02,0.69,US$/kg,published observation
1960-03,0.69,US$/kg,published observation
1960-04,0.68,US$/kg,published observation
1960-05,0.69,US$/kg,published observation
1960-06,0.7,US$/kg,published observation
1960-07,0.69,US$/kg,published observation
1960-08,0.7,US$/kg,published observation
1960-09,0.7,US$/kg,published observation
1960-10,0.71,US$/kg,published observation
1960-11,0.71,US$/kg,published observation
1960-12,0.7,US$/kg,published observation
1961-01,0.68,US$/kg,published observation
1961-02,0.68,US$/kg,published observation
1961-03,0.67,US$/kg,published observation
1961-04,0.66,US$/kg,published observation
1961-05,0.66,US$/kg,published observation
1961-06,0.67,US$/kg,published observation
1961-07,0.67,US$/kg,published observation
1961-08,0.67,US$/kg,published observation
1961-09,0.67,US$/kg,published observation
1961-10,0.67,US$/kg,published observation
1961-11,0.67,US$/kg,published observation
1961-12,0.67,US$/kg,published observation
1962-01,0.67,US$/kg,published observation
1962-02,0.67,US$/kg,published observation
1962-03,0.67,US$/kg,published observation
1962-04,0.67,US$/kg,published observation
1962-05,0.67,US$/kg,published observation
1962-06,0.67,US$/kg,published observation
1962-07,0.68,US$/kg,published observation
1962-08,0.68,US$/kg,published observation
1962-09,0.69,US$/kg,published observation
1962-10,0.69,US$/kg,published observation
1962-11,0.69,US$/kg,published observation
1962-12,0.72,US$/kg,published observation
1963-01,0.65,US$/kg,published observation
1963-02,0.61,US$/kg,published observation
1963-03,0.62,US$/kg,published observation
1963-04,0.62,US$/kg,published observation
1963-05,0.61,US$/kg,published observation
1963-06,0.61,US$/kg,published observation
1963-07,0.62,US$/kg,published observation
1963-08,0.61,US$/kg,published observation
1963-09,0.62,US$/kg,published observation
1963-10,0.63,US$/kg,published observation
1963-11,0.63,US$/kg,published observation
1963-12,0.65,US$/kg,published observation
1964-01,0.7,US$/kg,published observation
1964-02,0.72,US$/kg,published observation
1964-03,0.78,US$/kg,published observation
1964-04,0.82,US$/kg,published observation
1964-05,0.83,US$/kg,published observation
1964-06,0.85,US$/kg,published observation
1964-07,0.82,US$/kg,published observation
1964-08,0.82,US$/kg,published observation
1964-09,0.79,US$/kg,published observation
1964-10,0.77,US$/kg,published observation
1964-11,0.79,US$/kg,published observation
1964-12,0.76,US$/kg,published observation
1965-01,0.63,US$/kg,published observation
1965-02,0.64,US$/kg,published observation
1965-03,0.58,US$/kg,published observation
1965-04,0.55,US$/kg,published observation
1965-05,0.49,US$/kg,published observation
1965-06,0.61,US$/kg,published observation
1965-07,0.72,US$/kg,published observation
1965-08,0.79,US$/kg,published observation
1965-09,0.78,US$/kg,published observation
1965-10,0.81,US$/kg,published observation
1965-11,0.76,US$/kg,published observation
1965-12,0.79,US$/kg,published observation
1966-01,0.8,US$/kg,published observation
1966-02,0.76,US$/kg,published observation
1966-03,0.74,US$/kg,published observation
1966-04,0.76,US$/kg,published observation
