period,value,unit,type
1990-01,64.4,index,published observation
1990-02,64.7,index,published observation
1990-03,64.0,index,published observation
1990-04,66.0,index,published observation
1990-05,64.6,index,published observation
1990-06,64.1,index,published observation
1990-07,62.9,index,published observation
1990-08,61.8,index,published observation
1990-09,61.3,index,published observation
1990-10,61.4,index,published observation
1990-11,62.3,index,published observation
1990-12,62.2,index,published observation
1991-01,61.0,index,published observation
1991-02,61.8,index,published observation
1991-03,62.3,index,published observation
1991-04,61.0,index,published observation
1991-05,60.8,index,published observation
1991-06,61.3,index,published observation
1991-07,62.2,index,published observation
1991-08,61.8,index,published observation
1991-09,62.4,index,published observation
1991-10,64.5,index,published observation
1991-11,64.6,index,published observation
1991-12,64.3,index,published observation
1992-01,65.1,index,published observation
1992-02,65.9,index,published observation
1992-03,66.5,index,published observation
1992-04,64.8,index,published observation
1992-05,65.1,index,published observation
1992-06,65.9,index,published observation
1992-07,64.7,index,published observation
1992-08,63.1,index,published observation
1992-09,63.8,index,published observation
1992-10,61.8,index,published observation
1992-11,62.7,index,published observation
1992-12,61.3,index,published observation
1993-01,61.6,index,published observation
1993-02,61.4,index,published observation
1993-03,63.2,index,published observation
1993-04,62.8,index,published observation
1993-05,62.4,index,published observation
1993-06,61.8,index,published observation
1993-07,62.2,index,published observation
1993-08,60.9,index,published observation
1993-09,61.2,index,published observation
1993-10,61.5,index,published observation
1993-11,63.4,index,published observation
1993-12,64.7,index,published observation
1994-01,64.8,index,published observation
1994-02,64.5,index,published observation
1994-03,64.8,index,published observation
1994-04,64.1,index,published observation
1994-05,65.9,index,published observation
1994-06,65.5,index,published observation
1994-07,64.2,index,published observation
1994-08,66.6,index,published observation
1994-09,69.6,index,published observation
1994-10,70.3,index,published observation
1994-11,73.6,index,published observation
1994-12,73.3,index,published observation
1995-01,73.0,index,published observation
1995-02,74.7,index,published observation
1995-03,75.5,index,published observation
1995-04,74.3,index,published observation
1995-05,74.1,index,published observation
1995-06,75.3,index,published observation
1995-07,79.6,index,published observation
1995-08,78.1,index,published observation
1995-09,78.5,index,published observation
1995-10,80.5,index,published observation
1995-11,80.0,index,published observation
1995-12,78.2,index,published observation
1996-01,77.1,index,published observation
1996-02,77.6,index,published observation
1996-03,78.7,index,published observation
1996-04,80.9,index,published observation
1996-05,82.5,index,published observation
1996-06,80.7,index,published observation
1996-07,80.5,index,published observation
1996-08,80.1,index,published observation
1996-09,77.1,index,published observation
1996-10,74.4,index,published observation
1996-11,72.7,index,published observation
1996-12,71.5,index,published observation
1997-01,71.0,index,published observation
1997-02,71.2,index,published observation
1997-03,73.0,index,published observation
1997-04,73.5,index,published observation
1997-05,72.9,index,published observation
1997-06,70.3,index,published observation
1997-07,68.6,index,published observation
1997-08,70.0,index,published observation
1997-09,70.1,index,published observation
1997-10,69.9,index,published observation
1997-11,70.5,index,published observation
1997-12,68.1,index,published observation
1998-01,67.5,index,published observation
1998-02,67.7,index,published observation
1998-03,67.6,index,published observation
1998-04,67.0,index,published observation
1998-05,66.6,index,published observation
1998-06,64.4,index,published observation
1998-07,64.4,index,published observation
1998-08,62.6,index,published observation
1998-09,62.1,index,published observation
1998-10,62.9,index,published observation
