period,value,unit,type
1960-01,1.28,tonnes/ha,USDA estimate (marketing year)
1961-01,1.38,tonnes/ha,USDA estimate (marketing year)
1962-01,1.41,tonnes/ha,USDA estimate (marketing year)
1963-01,0.97,tonnes/ha,USDA estimate (marketing year)
1964-01,1.07,tonnes/ha,USDA estimate (marketing year)
1965-01,1.21,tonnes/ha,USDA estimate (marketing year)
1966-01,2.13,tonnes/ha,USDA estimate (marketing year)
1967-01,1.12,tonnes/ha,USDA estimate (marketing year)
1968-01,1.22,tonnes/ha,USDA estimate (marketing year)
1969-01,1.45,tonnes/ha,USDA estimate (marketing year)
1970-01,1.95,tonnes/ha,USDA estimate (marketing year)
1971-01,2.07,tonnes/ha,USDA estimate (marketing year)
1972-01,1.15,tonnes/ha,USDA estimate (marketing year)
1973-01,2.49,tonnes/ha,USDA estimate (marketing year)
1974-01,2.04,tonnes/ha,USDA estimate (marketing year)
1975-01,1.61,tonnes/ha,USDA estimate (marketing year)
1976-01,2.18,tonnes/ha,USDA estimate (marketing year)
1977-01,2.24,tonnes/ha,USDA estimate (marketing year)
1978-01,1.94,tonnes/ha,USDA estimate (marketing year)
1979-01,2.42,tonnes/ha,USDA estimate (marketing year)
1980-01,3.31,tonnes/ha,USDA estimate (marketing year)
1981-01,1.88,tonnes/ha,USDA estimate (marketing year)
1982-01,0.94,tonnes/ha,USDA estimate (marketing year)
1983-01,0.99,tonnes/ha,USDA estimate (marketing year)
1984-01,1.88,tonnes/ha,USDA estimate (marketing year)
1985-01,1.78,tonnes/ha,USDA estimate (marketing year)
1986-01,1.56,tonnes/ha,USDA estimate (marketing year)
1987-01,1.62,tonnes/ha,USDA estimate (marketing year)
1988-01,2.84,tonnes/ha,USDA estimate (marketing year)
1989-01,2.21,tonnes/ha,USDA estimate (marketing year)
1990-01,2.26,tonnes/ha,USDA estimate (marketing year)
1991-01,0.79,tonnes/ha,USDA estimate (marketing year)
1992-01,2.28,tonnes/ha,USDA estimate (marketing year)
1993-01,2.85,tonnes/ha,USDA estimate (marketing year)
1994-01,1.38,tonnes/ha,USDA estimate (marketing year)
1995-01,2.7,tonnes/ha,USDA estimate (marketing year)
1996-01,2.52,tonnes/ha,USDA estimate (marketing year)
1997-01,2.16,tonnes/ha,USDA estimate (marketing year)
1998-01,2.23,tonnes/ha,USDA estimate (marketing year)
1999-01,3.0,tonnes/ha,USDA estimate (marketing year)
2000-01,2.49,tonnes/ha,USDA estimate (marketing year)
2001-01,2.84,tonnes/ha,USDA estimate (marketing year)
2002-01,2.65,tonnes/ha,USDA estimate (marketing year)
2003-01,2.94,tonnes/ha,USDA estimate (marketing year)
2004-01,3.64,tonnes/ha,USDA estimate (marketing year)
2005-01,3.41,tonnes/ha,USDA estimate (marketing year)
2006-01,2.52,tonnes/ha,USDA estimate (marketing year)
2007-01,3.99,tonnes/ha,USDA estimate (marketing year)
2008-01,4.34,tonnes/ha,USDA estimate (marketing year)
2009-01,4.11,tonnes/ha,USDA estimate (marketing year)
2010-01,3.82,tonnes/ha,USDA estimate (marketing year)
2011-01,4.06,tonnes/ha,USDA estimate (marketing year)
2012-01,3.82,tonnes/ha,USDA estimate (marketing year)
2013-01,4.85,tonnes/ha,USDA estimate (marketing year)
2014-01,3.49,tonnes/ha,USDA estimate (marketing year)
2015-01,3.71,tonnes/ha,USDA estimate (marketing year)
2016-01,5.86,tonnes/ha,USDA estimate (marketing year)
2017-01,4.97,tonnes/ha,USDA estimate (marketing year)
2018-01,4.55,tonnes/ha,USDA estimate (marketing year)
2019-01,5.45,tonnes/ha,USDA estimate (marketing year)
2020-01,5.44,tonnes/ha,USDA estimate (marketing year)
2021-01,5.38,tonnes/ha,USDA estimate (marketing year)
2022-01,5.81,tonnes/ha,USDA estimate (marketing year)
2023-01,4.5,tonnes/ha,USDA estimate (marketing year)
2024-01,5.85,tonnes/ha,USDA estimate (marketing year)
2025-01,5.78,tonnes/ha,USDA estimate (marketing year)
2025-01,5.78,tonnes/ha,low scenario checkpoint
2026-01,5.9,tonnes/ha,low scenario checkpoint
2027-01,6,tonnes/ha,low scenario checkpoint
2028-01,6.1,tonnes/ha,low scenario checkpoint
2025-01,5.78,tonnes/ha,medium scenario checkpoint
2026-01,5.5,tonnes/ha,medium scenario checkpoint
2027-01,5.7,tonnes/ha,medium scenario checkpoint
2028-01,5.95,tonnes/ha,medium scenario checkpoint
2025-01,5.78,tonnes/ha,high scenario checkpoint
2026-01,4.3,tonnes/ha,high scenario checkpoint
2027-01,5,tonnes/ha,high scenario checkpoint
2028-01,5.7,tonnes/ha,high scenario checkpoint
