period,value,unit,type
1960-01,45.0,US$/tonne,published observation
1960-02,44.0,US$/tonne,published observation
1960-03,45.0,US$/tonne,published observation
1960-04,45.0,US$/tonne,published observation
1960-05,48.0,US$/tonne,published observation
1960-06,47.0,US$/tonne,published observation
1960-07,47.0,US$/tonne,published observation
1960-08,47.0,US$/tonne,published observation
1960-09,46.0,US$/tonne,published observation
1960-10,42.0,US$/tonne,published observation
1960-11,38.0,US$/tonne,published observation
1960-12,40.0,US$/tonne,published observation
1961-01,43.0,US$/tonne,published observation
1961-02,44.0,US$/tonne,published observation
1961-03,44.0,US$/tonne,published observation
1961-04,43.0,US$/tonne,published observation
1961-05,45.0,US$/tonne,published observation
1961-06,44.0,US$/tonne,published observation
1961-07,45.0,US$/tonne,published observation
1961-08,44.0,US$/tonne,published observation
1961-09,43.0,US$/tonne,published observation
1961-10,47.6,US$/tonne,published observation
1961-11,48.4,US$/tonne,published observation
1961-12,48.4,US$/tonne,published observation
1962-01,48.0,US$/tonne,published observation
1962-02,48.0,US$/tonne,published observation
1962-03,48.8,US$/tonne,published observation
1962-04,48.8,US$/tonne,published observation
1962-05,49.6,US$/tonne,published observation
1962-06,49.6,US$/tonne,published observation
1962-07,48.8,US$/tonne,published observation
1962-08,47.2,US$/tonne,published observation
1962-09,47.6,US$/tonne,published observation
1962-10,47.6,US$/tonne,published observation
1962-11,48.4,US$/tonne,published observation
1962-12,51.2,US$/tonne,published observation
1963-01,52.8,US$/tonne,published observation
1963-02,53.2,US$/tonne,published observation
1963-03,52.4,US$/tonne,published observation
1963-04,52.0,US$/tonne,published observation
1963-05,52.4,US$/tonne,published observation
1963-06,55.5,US$/tonne,published observation
1963-07,56.7,US$/tonne,published observation
1963-08,55.5,US$/tonne,published observation
1963-09,55.9,US$/tonne,published observation
1963-10,53.2,US$/tonne,published observation
1963-11,52.4,US$/tonne,published observation
1963-12,53.5,US$/tonne,published observation
1964-01,55.1,US$/tonne,published observation
1964-02,52.8,US$/tonne,published observation
1964-03,54.3,US$/tonne,published observation
1964-04,55.5,US$/tonne,published observation
1964-05,55.9,US$/tonne,published observation
1964-06,56.3,US$/tonne,published observation
1964-07,55.9,US$/tonne,published observation
1964-08,54.7,US$/tonne,published observation
1964-09,55.1,US$/tonne,published observation
1964-10,52.8,US$/tonne,published observation
1964-11,52.8,US$/tonne,published observation
1964-12,54.3,US$/tonne,published observation
1965-01,55.9,US$/tonne,published observation
1965-02,56.7,US$/tonne,published observation
1965-03,57.1,US$/tonne,published observation
1965-04,57.5,US$/tonne,published observation
1965-05,58.7,US$/tonne,published observation
1965-06,58.3,US$/tonne,published observation
