period,value,unit,type
1960-01,233.0,US$/tonne,published observation
1960-02,229.0,US$/tonne,published observation
1960-03,225.0,US$/tonne,published observation
1960-04,225.0,US$/tonne,published observation
1960-05,225.0,US$/tonne,published observation
1960-06,219.0,US$/tonne,published observation
1960-07,221.0,US$/tonne,published observation
1960-08,225.0,US$/tonne,published observation
1960-09,224.0,US$/tonne,published observation
1960-10,222.0,US$/tonne,published observation
1960-11,222.0,US$/tonne,published observation
1960-12,223.0,US$/tonne,published observation
1961-01,223.0,US$/tonne,published observation
1961-02,228.0,US$/tonne,published observation
1961-03,231.0,US$/tonne,published observation
1961-04,233.0,US$/tonne,published observation
1961-05,234.0,US$/tonne,published observation
1961-06,233.0,US$/tonne,published observation
1961-07,229.0,US$/tonne,published observation
1961-08,226.0,US$/tonne,published observation
1961-09,226.0,US$/tonne,published observation
1961-10,226.0,US$/tonne,published observation
1961-11,226.0,US$/tonne,published observation
1961-12,226.0,US$/tonne,published observation
1962-01,236.0,US$/tonne,published observation
1962-02,237.0,US$/tonne,published observation
1962-03,223.0,US$/tonne,published observation
1962-04,220.0,US$/tonne,published observation
1962-05,219.0,US$/tonne,published observation
1962-06,216.0,US$/tonne,published observation
1962-07,213.0,US$/tonne,published observation
1962-08,209.0,US$/tonne,published observation
1962-09,205.0,US$/tonne,published observation
1962-10,197.0,US$/tonne,published observation
1962-11,208.0,US$/tonne,published observation
1962-12,211.0,US$/tonne,published observation
1963-01,218.0,US$/tonne,published observation
1963-02,218.0,US$/tonne,published observation
1963-03,218.0,US$/tonne,published observation
1963-04,218.0,US$/tonne,published observation
1963-05,218.0,US$/tonne,published observation
1963-06,220.0,US$/tonne,published observation
1963-07,222.0,US$/tonne,published observation
1963-08,225.0,US$/tonne,published observation
1963-09,225.0,US$/tonne,published observation
1963-10,227.0,US$/tonne,published observation
1963-11,230.0,US$/tonne,published observation
1963-12,232.0,US$/tonne,published observation
1964-01,233.0,US$/tonne,published observation
1964-02,233.0,US$/tonne,published observation
1964-03,233.0,US$/tonne,published observation
1964-04,233.0,US$/tonne,published observation
1964-05,233.0,US$/tonne,published observation
1964-06,234.0,US$/tonne,published observation
1964-07,235.0,US$/tonne,published observation
1964-08,236.0,US$/tonne,published observation
1964-09,238.0,US$/tonne,published observation
1964-10,251.0,US$/tonne,published observation
1964-11,255.0,US$/tonne,published observation
1964-12,261.0,US$/tonne,published observation
1965-01,266.0,US$/tonne,published observation
1965-02,283.0,US$/tonne,published observation
1965-03,292.0,US$/tonne,published observation
1965-04,298.0,US$/tonne,published observation
1965-05,303.0,US$/tonne,published observation
1965-06,295.0,US$/tonne,published observation
1965-07,280.0,US$/tonne,published observation
1965-08,258.0,US$/tonne,published observation
1965-09,247.0,US$/tonne,published observation
1965-10,250.0,US$/tonne,published observation
1965-11,250.0,US$/tonne,published observation
1965-12,249.0,US$/tonne,published observation
1966-01,247.0,US$/tonne,published observation
1966-02,248.0,US$/tonne,published observation
1966-03,245.0,US$/tonne,published observation
1966-04,234.0,US$/tonne,published observation
1966-05,226.0,US$/tonne,published observation
1966-06,225.0,US$/tonne,published observation
1966-07,235.0,US$/tonne,published observation
1966-08,240.0,US$/tonne,published observation
1966-09,240.0,US$/tonne,published observation
1966-10,231.0,US$/tonne,published observation
1966-11,226.0,US$/tonne,published observation
1966-12,231.0,US$/tonne,published observation
1967-01,234.0,US$/tonne,published observation
1967-02,231.0,US$/tonne,published observation
1967-03,223.0,US$/tonne,published observation
1967-04,223.0,US$/tonne,published observation
1967-05,224.0,US$/tonne,published observation
1967-06,229.0,US$/tonne,published observation
1967-07,229.0,US$/tonne,published observation
1967-08,229.0,US$/tonne,published observation
1967-09,225.0,US$/tonne,published observation
1967-10,222.0,US$/tonne,published observation
1967-11,218.0,US$/tonne,published observation
1967-12,195.0,US$/tonne,published observation
1968-01,191.0,US$/tonne,published observation
1968-02,191.0,US$/tonne,published observation
1968-03,191.0,US$/tonne,published observation
1968-04,189.0,US$/tonne,published observation
