period,value,unit,type
1988-01,48.0,index,published observation
1988-02,48.3,index,published observation
1988-03,48.4,index,published observation
1988-04,48.7,index,published observation
1988-05,48.8,index,published observation
1988-06,48.9,index,published observation
1988-07,48.5,index,published observation
1988-08,48.7,index,published observation
1988-09,48.9,index,published observation
1988-10,49.0,index,published observation
1988-11,49.3,index,published observation
1988-12,49.7,index,published observation
1989-01,50.1,index,published observation
1989-02,50.2,index,published observation
1989-03,50.5,index,published observation
1989-04,51.1,index,published observation
1989-05,51.4,index,published observation
1989-06,51.6,index,published observation
1989-07,51.3,index,published observation
1989-08,51.5,index,published observation
1989-09,51.8,index,published observation
1989-10,52.4,index,published observation
1989-11,52.9,index,published observation
1989-12,53.4,index,published observation
1990-01,54.1,index,published observation
1990-02,54.6,index,published observation
1990-03,54.9,index,published observation
1990-04,55.4,index,published observation
1990-05,56.1,index,published observation
1990-06,56.0,index,published observation
1990-07,55.4,index,published observation
1990-08,56.0,index,published observation
1990-09,56.1,index,published observation
1990-10,56.2,index,published observation
1990-11,56.6,index,published observation
1990-12,56.9,index,published observation
1991-01,57.3,index,published observation
1991-02,58.0,index,published observation
1991-03,58.0,index,published observation
1991-04,58.7,index,published observation
1991-05,58.6,index,published observation
1991-06,59.2,index,published observation
1991-07,58.4,index,published observation
1991-08,59.0,index,published observation
1991-09,58.6,index,published observation
1991-10,58.6,index,published observation
1991-11,59.2,index,published observation
1991-12,59.3,index,published observation
1992-01,59.9,index,published observation
1992-02,60.2,index,published observation
1992-03,60.4,index,published observation
1992-04,60.1,index,published observation
1992-05,60.4,index,published observation
1992-06,60.2,index,published observation
1992-07,59.4,index,published observation
1992-08,59.5,index,published observation
1992-09,59.3,index,published observation
1992-10,59.5,index,published observation
1992-11,59.4,index,published observation
1992-12,59.9,index,published observation
1993-01,60.0,index,published observation
1993-02,60.7,index,published observation
1993-03,61.2,index,published observation
1993-04,60.9,index,published observation
1993-05,61.6,index,published observation
1993-06,61.3,index,published observation
1993-07,61.2,index,published observation
1993-08,61.2,index,published observation
1993-09,61.0,index,published observation
1993-10,60.5,index,published observation
1993-11,60.1,index,published observation
1993-12,60.2,index,published observation
1994-01,60.5,index,published observation
1994-02,60.9,index,published observation
1994-03,61.3,index,published observation
1994-04,61.5,index,published observation
1994-05,62.0,index,published observation
1994-06,62.0,index,published observation
1994-07,61.6,index,published observation
1994-08,61.8,index,published observation
1994-09,61.2,index,published observation
1994-10,61.1,index,published observation
1994-11,61.3,index,published observation
1994-12,61.7,index,published observation
1995-01,62.4,index,published observation
1995-02,62.7,index,published observation
1995-03,63.2,index,published observation
1995-04,63.1,index,published observation
1995-05,64.2,index,published observation
1995-06,63.9,index,published observation
1995-07,63.4,index,published observation
1995-08,64.5,index,published observation
1995-09,64.7,index,published observation
1995-10,63.8,index,published observation
1995-11,63.9,index,published observation
1995-12,64.5,index,published observation
1996-01,64.9,index,published observation
1996-02,65.6,index,published observation
1996-03,66.1,index,published observation
1996-04,66.1,index,published observation
1996-05,66.6,index,published observation
1996-06,66.5,index,published observation
1996-07,65.6,index,published observation
1996-08,66.4,index,published observation
1996-09,65.7,index,published observation
1996-10,65.1,index,published observation
1996-11,64.8,index,published observation
1996-12,64.9,index,published observation
1997-01,65.4,index,published observation
1997-02,65.3,index,published observation
1997-03,64.9,index,published observation
1997-04,65.1,index,published observation
1997-05,65.6,index,published observation
1997-06,66.2,index,published observation
1997-07,65.8,index,published observation
1997-08,66.0,index,published observation
1997-09,65.9,index,published observation
1997-10,65.9,index,published observation
1997-11,65.6,index,published observation
1997-12,65.6,index,published observation
1998-01,65.6,index,published observation
1998-02,65.5,index,published observation
1998-03,65.4,index,published observation
1998-04,65.6,index,published observation
1998-05,66.6,index,published observation
1998-06,66.3,index,published observation
1998-07,66.2,index,published observation
1998-08,66.9,index,published observation
1998-09,66.6,index,published observation
1998-10,66.7,index,published observation
1998-11,66.6,index,published observation
1998-12,67.1,index,published observation
1999-01,67.3,index,published observation
1999-02,67.4,index,published observation
1999-03,67.0,index,published observation
1999-04,66.6,index,published observation
1999-05,67.0,index,published observation
1999-06,66.6,index,published observation
1999-07,66.0,index,published observation
1999-08,65.9,index,published observation
1999-09,65.8,index,published observation
1999-10,65.7,index,published observation
1999-11,65.9,index,published observation
1999-12,66.0,index,published observation
2000-01,66.0,index,published observation
2000-02,65.9,index,published observation
2000-03,65.4,index,published observation
2000-04,65.2,index,published observation
2000-05,65.9,index,published observation
2000-06,66.1,index,published observation
2000-07,66.6,index,published observation
2000-08,66.1,index,published observation
2000-09,66.3,index,published observation
2000-10,66.3,index,published observation
2000-11,66.7,index,published observation
2000-12,66.8,index,published observation
2001-01,67.0,index,published observation
2001-02,67.1,index,published observation
2001-03,67.9,index,published observation
2001-04,68.1,index,published observation
2001-05,70.0,index,published observation
2001-06,70.4,index,published observation
2001-07,69.0,index,published observation
2001-08,68.8,index,published observation
2001-09,68.7,index,published observation
2001-10,68.8,index,published observation
2001-11,68.7,index,published observation
2001-12,69.1,index,published observation
2002-01,69.7,index,published observation
2002-02,69.6,index,published observation
2002-03,69.8,index,published observation
2002-04,69.6,index,published observation
2002-05,69.4,index,published observation
2002-06,68.9,index,published observation
2002-07,68.8,index,published observation
2002-08,68.7,index,published observation
2002-09,68.8,index,published observation
2002-10,69.0,index,published observation
2002-11,68.9,index,published observation
2002-12,68.9,index,published observation
2003-01,68.9,index,published observation
2003-02,69.3,index,published observation
2003-03,69.6,index,published observation
2003-04,69.8,index,published observation
2003-05,70.2,index,published observation
2003-06,69.8,index,published observation
2003-07,69.8,index,published observation
2003-08,69.8,index,published observation
2003-09,70.4,index,published observation
2003-10,70.5,index,published observation
2003-11,70.7,index,published observation
2003-12,70.9,index,published observation
2004-01,70.7,index,published observation
2004-02,70.9,index,published observation
2004-03,70.9,index,published observation
2004-04,70.7,index,published observation
2004-05,70.9,index,published observation
2004-06,70.4,index,published observation
2004-07,69.9,index,published observation
2004-08,69.7,index,published observation
2004-09,69.9,index,published observation
2004-10,70.0,index,published observation
2004-11,70.4,index,published observation
2004-12,70.8,index,published observation
