period,value,unit,type
1960-01,104.5,US$/tonne,published observation
1960-02,103.5,US$/tonne,published observation
1960-03,103.8,US$/tonne,published observation
1960-04,101.0,US$/tonne,published observation
1960-05,102.2,US$/tonne,published observation
1960-06,103.1,US$/tonne,published observation
1960-07,102.1,US$/tonne,published observation
1960-08,109.7,US$/tonne,published observation
1960-09,116.1,US$/tonne,published observation
1960-10,115.2,US$/tonne,published observation
1960-11,114.4,US$/tonne,published observation
1960-12,112.7,US$/tonne,published observation
1961-01,113.5,US$/tonne,published observation
1961-02,109.5,US$/tonne,published observation
1961-03,117.7,US$/tonne,published observation
1961-04,115.2,US$/tonne,published observation
1961-05,119.4,US$/tonne,published observation
1961-06,121.4,US$/tonne,published observation
1961-07,123.4,US$/tonne,published observation
1961-08,119.6,US$/tonne,published observation
1961-09,119.0,US$/tonne,published observation
1961-10,120.3,US$/tonne,published observation
1961-11,128.3,US$/tonne,published observation
1961-12,120.1,US$/tonne,published observation
1962-01,117.8,US$/tonne,published observation
1962-02,119.2,US$/tonne,published observation
1962-03,123.8,US$/tonne,published observation
1962-04,130.8,US$/tonne,published observation
1962-05,149.1,US$/tonne,published observation
1962-06,144.1,US$/tonne,published observation
1962-07,144.2,US$/tonne,published observation
1962-08,142.9,US$/tonne,published observation
1962-09,140.6,US$/tonne,published observation
1962-10,143.0,US$/tonne,published observation
1962-11,142.5,US$/tonne,published observation
1962-12,121.1,US$/tonne,published observation
1963-01,121.8,US$/tonne,published observation
1963-02,123.4,US$/tonne,published observation
1963-03,123.3,US$/tonne,published observation
1963-04,122.4,US$/tonne,published observation
1963-05,123.2,US$/tonne,published observation
1963-06,128.1,US$/tonne,published observation
1963-07,130.6,US$/tonne,published observation
1963-08,129.9,US$/tonne,published observation
1963-09,130.3,US$/tonne,published observation
1963-10,128.7,US$/tonne,published observation
1963-11,124.8,US$/tonne,published observation
1963-12,121.5,US$/tonne,published observation
1964-01,124.0,US$/tonne,published observation
1964-02,119.1,US$/tonne,published observation
1964-03,115.1,US$/tonne,published observation
1964-04,116.9,US$/tonne,published observation
1964-05,117.0,US$/tonne,published observation
1964-06,119.2,US$/tonne,published observation
1964-07,122.6,US$/tonne,published observation
1964-08,122.9,US$/tonne,published observation
1964-09,123.4,US$/tonne,published observation
1964-10,121.5,US$/tonne,published observation
1964-11,121.0,US$/tonne,published observation
1964-12,119.1,US$/tonne,published observation
1965-01,114.6,US$/tonne,published observation
1965-02,115.9,US$/tonne,published observation
1965-03,115.6,US$/tonne,published observation
1965-04,113.3,US$/tonne,published observation
1965-05,111.8,US$/tonne,published observation
1965-06,110.9,US$/tonne,published observation
1965-07,112.0,US$/tonne,published observation
1965-08,116.9,US$/tonne,published observation
1965-09,126.6,US$/tonne,published observation
1965-10,126.7,US$/tonne,published observation
1965-11,129.2,US$/tonne,published observation
1965-12,132.1,US$/tonne,published observation
1966-01,125.5,US$/tonne,published observation
1966-02,124.8,US$/tonne,published observation
1966-03,131.7,US$/tonne,published observation
1966-04,143.0,US$/tonne,published observation
1966-05,140.9,US$/tonne,published observation
1966-06,144.5,US$/tonne,published observation
1966-07,153.3,US$/tonne,published observation
1966-08,150.4,US$/tonne,published observation
1966-09,155.4,US$/tonne,published observation
1966-10,164.3,US$/tonne,published observation
1966-11,166.1,US$/tonne,published observation
1966-12,142.6,US$/tonne,published observation
1967-01,142.3,US$/tonne,published observation
1967-02,151.5,US$/tonne,published observation
1967-03,163.5,US$/tonne,published observation
1967-04,168.5,US$/tonne,published observation
1967-05,175.8,US$/tonne,published observation
1967-06,184.5,US$/tonne,published observation
1967-07,206.2,US$/tonne,published observation
1967-08,207.2,US$/tonne,published observation
1967-09,221.6,US$/tonne,published observation
1967-10,224.1,US$/tonne,published observation
1967-11,213.6,US$/tonne,published observation
1967-12,213.6,US$/tonne,published observation
1968-01,198.8,US$/tonne,published observation
1968-02,207.0,US$/tonne,published observation
1968-03,209.8,US$/tonne,published observation
1968-04,197.0,US$/tonne,published observation
1968-05,187.1,US$/tonne,published observation
1968-06,179.3,US$/tonne,published observation
1968-07,181.7,US$/tonne,published observation
1968-08,177.7,US$/tonne,published observation
1968-09,175.8,US$/tonne,published observation
1968-10,163.7,US$/tonne,published observation
1968-11,157.1,US$/tonne,published observation
1968-12,159.9,US$/tonne,published observation
1969-01,162.4,US$/tonne,published observation
1969-02,160.5,US$/tonne,published observation
1969-03,167.0,US$/tonne,published observation
1969-04,165.2,US$/tonne,published observation
1969-05,171.1,US$/tonne,published observation
1969-06,178.8,US$/tonne,published observation
1969-07,180.5,US$/tonne,published observation
1969-08,171.6,US$/tonne,published observation
1969-09,167.6,US$/tonne,published observation
1969-10,167.4,US$/tonne,published observation
1969-11,167.6,US$/tonne,published observation
1969-12,161.1,US$/tonne,published observation
