period,value,unit,type
1960-01,0.07,US$/kg,published observation
1960-02,0.07,US$/kg,published observation
1960-03,0.07,US$/kg,published observation
1960-04,0.07,US$/kg,published observation
1960-05,0.07,US$/kg,published observation
1960-06,0.07,US$/kg,published observation
1960-07,0.07,US$/kg,published observation
1960-08,0.07,US$/kg,published observation
1960-09,0.07,US$/kg,published observation
1960-10,0.05,US$/kg,published observation
1960-11,0.05,US$/kg,published observation
1960-12,0.06,US$/kg,published observation
1961-01,0.06,US$/kg,published observation
1961-02,0.06,US$/kg,published observation
1961-03,0.06,US$/kg,published observation
1961-04,0.07,US$/kg,published observation
1961-05,0.07,US$/kg,published observation
1961-06,0.07,US$/kg,published observation
1961-07,0.06,US$/kg,published observation
1961-08,0.05,US$/kg,published observation
1961-09,0.05,US$/kg,published observation
1961-10,0.05,US$/kg,published observation
1961-11,0.05,US$/kg,published observation
1961-12,0.05,US$/kg,published observation
1962-01,0.05,US$/kg,published observation
1962-02,0.05,US$/kg,published observation
1962-03,0.06,US$/kg,published observation
1962-04,0.06,US$/kg,published observation
1962-05,0.06,US$/kg,published observation
1962-06,0.06,US$/kg,published observation
1962-07,0.06,US$/kg,published observation
1962-08,0.06,US$/kg,published observation
1962-09,0.06,US$/kg,published observation
1962-10,0.07,US$/kg,published observation
1962-11,0.08,US$/kg,published observation
1962-12,0.09,US$/kg,published observation
1963-01,0.12,US$/kg,published observation
1963-02,0.13,US$/kg,published observation
1963-03,0.14,US$/kg,published observation
1963-04,0.16,US$/kg,published observation
1963-05,0.22,US$/kg,published observation
1963-06,0.22,US$/kg,published observation
1963-07,0.2,US$/kg,published observation
1963-08,0.14,US$/kg,published observation
1963-09,0.16,US$/kg,published observation
1963-10,0.23,US$/kg,published observation
1963-11,0.25,US$/kg,published observation
1963-12,0.23,US$/kg,published observation
1964-01,0.23,US$/kg,published observation
1964-02,0.2,US$/kg,published observation
1964-03,0.16,US$/kg,published observation
1964-04,0.17,US$/kg,published observation
1964-05,0.15,US$/kg,published observation
1964-06,0.12,US$/kg,published observation
1964-07,0.1,US$/kg,published observation
1964-08,0.09,US$/kg,published observation
1964-09,0.08,US$/kg,published observation
1964-10,0.08,US$/kg,published observation
1964-11,0.07,US$/kg,published observation
1964-12,0.06,US$/kg,published observation
1965-01,0.05,US$/kg,published observation
1965-02,0.05,US$/kg,published observation
1965-03,0.05,US$/kg,published observation
1965-04,0.05,US$/kg,published observation
1965-05,0.05,US$/kg,published observation
1965-06,0.04,US$/kg,published observation
1965-07,0.04,US$/kg,published observation
1965-08,0.04,US$/kg,published observation
1965-09,0.04,US$/kg,published observation
1965-10,0.04,US$/kg,published observation
1965-11,0.04,US$/kg,published observation
1965-12,0.04,US$/kg,published observation
1966-01,0.05,US$/kg,published observation
1966-02,0.05,US$/kg,published observation
1966-03,0.05,US$/kg,published observation
1966-04,0.05,US$/kg,published observation
1966-05,0.05,US$/kg,published observation
1966-06,0.04,US$/kg,published observation
1966-07,0.04,US$/kg,published observation
1966-08,0.04,US$/kg,published observation
1966-09,0.03,US$/kg,published observation
1966-10,0.03,US$/kg,published observation
1966-11,0.03,US$/kg,published observation
1966-12,0.03,US$/kg,published observation
1967-01,0.03,US$/kg,published observation
1967-02,0.04,US$/kg,published observation
1967-03,0.03,US$/kg,published observation
1967-04,0.05,US$/kg,published observation
1967-05,0.06,US$/kg,published observation
1967-06,0.05,US$/kg,published observation
1967-07,0.04,US$/kg,published observation
1967-08,0.04,US$/kg,published observation
1967-09,0.04,US$/kg,published observation
1967-10,0.04,US$/kg,published observation
1967-11,0.05,US$/kg,published observation
1967-12,0.05,US$/kg,published observation
1968-01,0.05,US$/kg,published observation
1968-02,0.05,US$/kg,published observation
1968-03,0.04,US$/kg,published observation
1968-04,0.04,US$/kg,published observation
1968-05,0.04,US$/kg,published observation
1968-06,0.04,US$/kg,published observation
1968-07,0.04,US$/kg,published observation
1968-08,0.03,US$/kg,published observation
1968-09,0.03,US$/kg,published observation
1968-10,0.04,US$/kg,published observation
1968-11,0.05,US$/kg,published observation
1968-12,0.06,US$/kg,published observation
1969-01,0.06,US$/kg,published observation
1969-02,0.07,US$/kg,published observation
1969-03,0.08,US$/kg,published observation
1969-04,0.08,US$/kg,published observation
1969-05,0.08,US$/kg,published observation
1969-06,0.08,US$/kg,published observation
1969-07,0.08,US$/kg,published observation
1969-08,0.07,US$/kg,published observation
1969-09,0.06,US$/kg,published observation
1969-10,0.07,US$/kg,published observation
1969-11,0.07,US$/kg,published observation
1969-12,0.06,US$/kg,published observation
1970-01,0.08,US$/kg,published observation
1970-02,0.07,US$/kg,published observation
1970-03,0.07,US$/kg,published observation
1970-04,0.08,US$/kg,published observation
1970-05,0.08,US$/kg,published observation
1970-06,0.08,US$/kg,published observation
1970-07,0.08,US$/kg,published observation
1970-08,0.08,US$/kg,published observation
1970-09,0.09,US$/kg,published observation
1970-10,0.09,US$/kg,published observation
1970-11,0.09,US$/kg,published observation
1970-12,0.09,US$/kg,published observation
1971-01,0.1,US$/kg,published observation
1971-02,0.11,US$/kg,published observation
1971-03,0.1,US$/kg,published observation
1971-04,0.1,US$/kg,published observation
1971-05,0.1,US$/kg,published observation
1971-06,0.09,US$/kg,published observation
1971-07,0.09,US$/kg,published observation
1971-08,0.09,US$/kg,published observation
1971-09,0.09,US$/kg,published observation
1971-10,0.09,US$/kg,published observation
1971-11,0.09,US$/kg,published observation
1971-12,0.13,US$/kg,published observation
1972-01,0.17,US$/kg,published observation
1972-02,0.18,US$/kg,published observation
1972-03,0.19,US$/kg,published observation
1972-04,0.16,US$/kg,published observation
1972-05,0.15,US$/kg,published observation
1972-06,0.14,US$/kg,published observation
1972-07,0.12,US$/kg,published observation
1972-08,0.14,US$/kg,published observation
1972-09,0.16,US$/kg,published observation
1972-10,0.16,US$/kg,published observation
1972-11,0.16,US$/kg,published observation
1972-12,0.2,US$/kg,published observation
1973-01,0.21,US$/kg,published observation
1973-02,0.2,US$/kg,published observation
1973-03,0.19,US$/kg,published observation
1973-04,0.2,US$/kg,published observation
